red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
1.49,2.2,2.45,5.7,4.2,S_Conglomerate_01.jpg,7.95,8.4
5.51,3.25,2.65,1.8,6.8,S_Conglomerate_02.jpg,7.1,6.45
4.81,4.05,2.85,2.2,5.0,S_Conglomerate_03.jpg,7.85,5.75
3.28,2.1,2.95,4.1,3.1,S_Conglomerate_04.jpg,8.4,7.9
3.91,2.1,4.6,5.3,5.0,S_Conglomerate_05.jpg,7.95,6.7
2.84,2.65,1.9,4.0,4.5,S_Conglomerate_06.jpg,6.9,7.45
6.07,2.15,1.95,5.0,6.0,S_Conglomerate_07.jpg,8.45,8.15
6.35,2.2,3.15,4.1,6.05,S_Conglomerate_08.jpg,7.45,8.15
2.86,2.4,2.35,4.8,4.05,S_Conglomerate_09.jpg,8.0,7.25
6.33,3.5,2.9,4.1,5.65,S_Conglomerate_10.jpg,6.95,5.6
4.23,2.0,2.95,2.9,5.5,S_Conglomerate_11.jpg,8.4,8.05
4.3,4.75,2.2,2.0,4.05,S_Conglomerate_12.jpg,4.4,5.95
6.05,6.3,1.7,1.9,7.15,S_Dolomite_01.jpg,2.5,3.0
1.3,4.3,3.95,5.7,5.0,S_Dolomite_02.jpg,5.05,5.9
4.6,4.5,3.85,1.7,5.25,S_Dolomite_03.jpg,4.05,4.35
4.56,5.8,2.25,2.6,8.0,S_Dolomite_04.jpg,3.0,3.7
4.44,5.2,3.05,3.7,7.25,S_Dolomite_05.jpg,2.8,2.7
5.16,5.75,4.35,0.6,8.8,S_Dolomite_06.jpg,2.85,3.5
6.23,6.0,2.35,1.4,4.95,S_Dolomite_07.jpg,2.9,3.2
6.81,4.4,1.85,3.4,7.3,S_Dolomite_08.jpg,3.45,5.0
7.16,5.0,2.45,3.3,7.3,S_Dolomite_09.jpg,3.9,4.0
6.26,4.55,1.9,2.1,4.7,S_Dolomite_10.jpg,3.2,3.4
5.21,3.65,3.25,0.6,6.6,S_Dolomite_11.jpg,5.35,5.7
4.88,5.55,2.25,1.4,7.85,S_Dolomite_12.jpg,2.55,3.3
4.51,5.2,2.3,3.8,6.9,S_Micrite_01.jpg,3.2,4.05
4.53,5.05,2.35,1.5,7.65,S_Micrite_02.jpg,4.65,6.4
4.91,3.5,3.15,1.3,8.05,S_Micrite_03.jpg,4.45,7.1
7.05,4.9,4.2,2.8,2.1,S_Micrite_04.jpg,1.75,3.1
5.33,3.1,2.1,0.6,6.7,S_Micrite_05.jpg,4.85,6.35
5.02,4.8,2.35,1.6,7.1,S_Micrite_06.jpg,3.9,4.15
5.44,5.3,2.4,1.3,6.95,S_Micrite_07.jpg,4.2,4.7
